product_id,product_name,brand,price_current,price_original,discount_percentage,rating,review_count,availability,image_url,product_url,platform,scraped_at
B08B217JP5,"Jasmine Long Grain Rice, 2 Lb (Previously Amazon Fresh, Packaging May Vary)",Amazon Grocery,,,,4.6,2,False,https://m.media-amazon.com/images/I/71o5W8n7-7L._AC_UL320_.jpg,https://www.amazon.com/Happy-Belly-Jasmine-Rice/dp/B08B217JP5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-1,Amazon,2025-07-18T08:38:12.832135
B07QRW8NVQ,"Spanish Style Yellow Rice, 3.4 lbs.",Iberia,7.0,,,4.5,,True,https://m.media-amazon.com/images/I/81ZvjdVBckL._AC_UL320_.jpg,https://www.amazon.com/Iberia-211083-NULL/dp/B07QRW8NVQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-2,Amazon,2025-07-18T08:38:14.491396
B00LBGNHE8,"Long Grain White Rice 4-Gallon Pail, Emergency Food Supply, Everyday Meals, 242 Servings",Augason Farms,57.0,,,4.2,,True,https://m.media-amazon.com/images/I/71G57vzEgfL._AC_UL320_.jpg,https://www.amazon.com/Augason-Farms-Grain-Emergency-Storage/dp/B00LBGNHE8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-3,Amazon,2025-07-18T08:38:16.055027
B0087HFXJ6,"Royal Blend, Blend Of Texmati White, Brown, Red, And Wild Rice, Premium Gluten Free Rice, Non-GMO, 21 Ounce Jar",RiceSelect,6.0,,,4.6,1,True,https://m.media-amazon.com/images/I/91SRur1lnyL._AC_UL320_.jpg,https://www.amazon.com/RiceSelect-Royal-Blend-Texmati-White/dp/B0087HFXJ6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-4,Amazon,2025-07-18T08:38:17.081610
B000FJLXHU,"Rice Sushi, 5 Lb",Kokuho,,,,4.7,5,False,https://m.media-amazon.com/images/I/91spzioCjfL._AC_UL320_.jpg,https://www.amazon.com/Kokuho-Rice-Sushi-5-Lb/dp/B000FJLXHU/ref=sr_1_5?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-5,Amazon,2025-07-18T08:38:18.694100
B007OMF56Q,"Calrose Rice, Nomura Yellow, 15-Pound",Kokuho,,,,4.4,15,False,https://m.media-amazon.com/images/I/91T1hgM2v2L._AC_UL320_.jpg,https://www.amazon.com/Kokuho-Calrose-Rice-Yellow-Pound/dp/B007OMF56Q/ref=sr_1_6?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-6,Amazon,2025-07-18T08:38:19.516111
B08YFH23V2,Premium Long Grain Aromatic Jasmine White Rice - Sustainably Grown - Women Owned - Farm to Table (2 lb),Premium Long Grain Aromatic Jasmine White Rice - Sustainably Grown - Women Owned - Farm to Table (2 lb),,,,4.6,,False,https://m.media-amazon.com/images/I/71FoVVcn6EL._AC_UL320_.jpg,https://www.amazon.com/4Sisters-Rice-Premium-Aromatic-Sustainably/dp/B08YFH23V2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-7,Amazon,2025-07-18T08:38:21.122121
B07GL6KNSL,RICE WHT SPANSH STYLE ENT 5.5 OZ,Lundberg,,,,4.3,5,False,https://m.media-amazon.com/images/I/71i97FOBJGL._AC_UL320_.jpg,https://www.amazon.com/LUNDBERG-RICE-WHT-SPANSH-STYLE/dp/B07GL6KNSL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-8,Amazon,2025-07-18T08:38:22.048393
B077ZXDRMC,"Organic White Jasmine Rice, 30 OZ",Lotus Foods,10.0,,,4.7,,True,https://m.media-amazon.com/images/I/81z-1GaF-9L._AC_UL320_.jpg,https://www.amazon.com/LOTUS-FOODS-Organic-White-Jasmine/dp/B077ZXDRMC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-9,Amazon,2025-07-18T08:38:23.220911
B08QLX5CYF,"Organic White Jasmine Rice, 8 Ounce",Lotus Foods,,,,4.3,8,False,https://m.media-amazon.com/images/I/71xpR+L+UpL._AC_UL320_.jpg,https://www.amazon.com/Lotus-Foods-0708953509020-JASMINE-WHITE/dp/B08QLX5CYF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-10,Amazon,2025-07-18T08:38:24.458501
