product_id,product_name,brand,price_current,price_original,discount_percentage,rating,review_count,availability,image_url,product_url,platform,scraped_at,description,category
BB001,India Gate Basmati Rice - Classic,India Gate,299.0,349.0,14.33,4.2,1250,True,https://www.bigbasket.com/media/uploads/p/l/40034810_7-india-gate-basmati-rice-classic.jpg,https://www.bigbasket.com/pd/BB001/,BigBasket,2025-07-18T08:36:27.116578,Premium quality basmati rice with long grains,Rice & Rice Products
BB002,Kohinoor Super Basmati Rice,Kohinoor,189.0,210.0,10.0,4.1,890,True,https://www.bigbasket.com/media/uploads/p/l/273936_7-kohinoor-super-basmati-rice.jpg,https://www.bigbasket.com/pd/BB002/,BigBasket,2025-07-18T08:36:27.116816,Aromatic super basmati rice,Rice & Rice Products
BB003,Tilda Pure Basmati Rice,Tilda,449.0,499.0,10.02,4.5,567,True,https://www.bigbasket.com/media/uploads/p/l/40156557_4-tilda-pure-basmati-rice.jpg,https://www.bigbasket.com/pd/BB003/,BigBasket,2025-07-18T08:36:27.116969,Premium imported basmati rice,Rice & Rice Products
BB004,Daawat Rozana Gold Basmati Rice,Daawat,279.0,320.0,12.81,4.0,1100,True,https://www.bigbasket.com/media/uploads/p/l/40034811_8-daawat-rozana-gold-basmati-rice.jpg,https://www.bigbasket.com/pd/BB004/,BigBasket,2025-07-18T08:36:27.117133,Everyday basmati rice with great taste,Rice & Rice Products
BB005,Aashirvaad Select Sharbati Rice,Aashirvaad,159.0,180.0,11.67,3.9,750,True,https://www.bigbasket.com/media/uploads/p/l/40034812_6-aashirvaad-select-sharbati-rice.jpg,https://www.bigbasket.com/pd/BB005/,BigBasket,2025-07-18T08:36:27.117303,Premium sharbati rice for daily meals,Rice & Rice Products
BB006,India Gate Sona Masuri Rice,India Gate,220.0,394.81,44.28,4.8,614,True,https://www.bigbasket.com/media/uploads/p/l/rice_6.jpg,https://www.bigbasket.com/pd/BB006/,BigBasket,2025-07-18T08:36:27.117516,High quality sona masuri rice from India Gate,Rice & Rice Products
BB007,Fortune Ponni Rice,Fortune,341.75,371.4434600730414,7.99,3.5,1679,True,https://www.bigbasket.com/media/uploads/p/l/rice_7.jpg,https://www.bigbasket.com/pd/BB007/,BigBasket,2025-07-18T08:36:27.218466,High quality ponni rice from Fortune,Rice & Rice Products
BB008,India Gate White Rice,India Gate,348.95,514.27,32.15,4.0,1922,True,https://www.bigbasket.com/media/uploads/p/l/rice_8.jpg,https://www.bigbasket.com/pd/BB008/,BigBasket,2025-07-18T08:36:27.320292,High quality white rice from India Gate,Rice & Rice Products
BB009,Aashirvaad Jasmine Rice,Aashirvaad,351.55,430.17,18.28,4.7,1043,True,https://www.bigbasket.com/media/uploads/p/l/rice_9.jpg,https://www.bigbasket.com/pd/BB009/,BigBasket,2025-07-18T08:36:27.421982,High quality jasmine rice from Aashirvaad,Rice & Rice Products
BB010,Lal Qilla Ponni Rice,Lal Qilla,299.95,347.0241024474953,13.57,4.5,360,True,https://www.bigbasket.com/media/uploads/p/l/rice_10.jpg,https://www.bigbasket.com/pd/BB010/,BigBasket,2025-07-18T08:36:27.523796,High quality ponni rice from Lal Qilla,Rice & Rice Products
BB011,Aashirvaad Basmati Rice,Aashirvaad,388.93,430.5432537512239,9.67,3.6,762,True,https://www.bigbasket.com/media/uploads/p/l/rice_11.jpg,https://www.bigbasket.com/pd/BB011/,BigBasket,2025-07-18T08:36:27.624942,High quality basmati rice from Aashirvaad,Rice & Rice Products
BB012,Aashirvaad Basmati Rice,Aashirvaad,436.26,471.8519047686932,7.54,4.2,238,True,https://www.bigbasket.com/media/uploads/p/l/rice_12.jpg,https://www.bigbasket.com/pd/BB012/,BigBasket,2025-07-18T08:36:27.725972,High quality basmati rice from Aashirvaad,Rice & Rice Products
BB013,India Gate Basmati Rice,India Gate,487.57,517.7467631933177,5.83,4.6,1081,True,https://www.bigbasket.com/media/uploads/p/l/rice_13.jpg,https://www.bigbasket.com/pd/BB013/,BigBasket,2025-07-18T08:36:27.826940,High quality basmati rice from India Gate,Rice & Rice Products
